location,rating,ground_truth,model_prediction,text,final_text
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,Bagus sekali,bagus
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,Transit cepat keluar dari terminal,transit cepat
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,Tempat yang bagus,bagus
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,Tempat yang bagus untuk transisi.,bagus transisi
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,"Di dalam feri lumayan, ada KFC (dengan wifi), tempat penukaran uang, dan agen feri.
Namun, begitu Anda keluar, perbedaannya sangat besar.
Hal pertama yang akan Anda alami adalah jalan setapak yang belum selesai dan tertutup rumput.
Jika Anda berkunjung setelah hujan, jalan berlumpur akan membuat Anda menangis.
Namun, staf bea cukai cukup ramah, sabar, dan membantu, dan hanya butuh sekitar 15 menit untuk menyelesaikan semuanya, lebih cepat jika Anda bebas visa.",lumayan kfc wifi tukar agen beda besar pertama alami setapak selesai tutup rumput kunjung hujan lumpur buat menang staf bea cukai ramah sabar bantu butuh selesai semua cepat bebas
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,Masalah keterlambatan feri...,masalah lambat
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,"PETUGAS IMIGRASI KORUP DI TERMINAL FERI INI

Pada tanggal 21 Februari, saya dan keluarga berencana mengunjungi Batam, Indonesia. Liburan Tahun Baru Imlek baru saja berlalu, dan kami menginginkan liburan singkat dan tenang—dua hari istirahat dan jalan-jalan sebelum ibu saya kembali ke Filipina. Rencananya hanya untuk waktu keluarga yang sederhana.

Kami pemegang paspor Filipina - suami, saya, dan putri saya memiliki izin tinggal jangka panjang Singapura yang masih berlaku. Pemerintah Indonesia memberikan izin masuk bebas visa 30 hari bagi pemegang paspor Filipina. Kami memiliki tiket pulang pergi dalam jangka waktu yang diizinkan. Kami sudah memesan hotel. Semuanya berjalan lancar.

Namun, saat kami tiba di imigrasi Batam pada tanggal 21 Februari 2026, pukul 10.30 pagi waktu Indonesia, semuanya berubah.

Tiba-tiba kami ditahan dan diinterogasi. Petugas menuduh kami melakukan perjalanan ke Batam ""hanya untuk memperpanjang visa ibu saya di Singapura."" Tuduhan ini mengejutkan kami. Mengapa imigrasi Indonesia harus khawatir tentang kebijakan ICA Singapura? Kami memasuki Indonesia secara legal berdasarkan skema bebas visa Indonesia. Kami tidak tinggal melebihi batas waktu di mana pun. Kami tidak melanggar hukum Indonesia apa pun.

Meskipun menjelaskan bahwa ini adalah perjalanan liburan singkat 2 hari, kami diantar ke sebuah kantor untuk ""interogasi"" lebih lanjut.

Ruangan itu remang-remang dan tegang. Ada turis lain di dalam juga, termasuk pemegang paspor India yang juga tampak gelisah. Suasana terasa mengintimidasi. Pertanyaan diulang-ulang. Nada bicaranya menuduh, seolah-olah kami telah melakukan kesalahan.

Kemudian nada bicara petugas berubah.

Dia memberi tahu kami bahwa kami memiliki ""dua pilihan"":
1. Mengubah penerbangan ibu saya dan memesankan tiket kembali ke Filipina pada tanggal yang mereka inginkan.

2. Membayar SGD 150 sebagai ""denda"" karena ""transit"" di Batam.

Denda untuk pelanggaran apa? Tidak ada penjelasan yang jelas. Tidak ada pemberitahuan tertulis. Tidak ada tanda terima resmi yang disebutkan di muka. Tidak ada dakwaan resmi. Hanya dua ""pilihan.""

Mengapa imigrasi Indonesia harus menentukan kapan ibu saya terbang kembali ke Filipina? Mengapa ada ""denda"" padahal kami masih berada dalam aturan bebas visa Indonesia?

Saat itu, rasa takut menguasai kami. Kami berada di kantor imigrasi asing. Kami melihat bagaimana petugas berbicara kepada turis lain. Kami tidak tahu apa yang akan terjadi selanjutnya—apakah mereka akan menolak masuk? Membatalkan paspor kami? Memasukkan kami ke daftar hitam? Membuat komplikasi lebih lanjut untuk perjalanan kami?

Merasa terintimidasi dan tidak berdaya, dan ingin menghindari masalah lebih lanjut, kami setuju untuk membayar uang tersebut.

Apa yang seharusnya menjadi perjalanan keluarga yang santai berubah menjadi pengalaman yang sangat menegangkan dan meresahkan. Hal ini membuat para pelancong mempertanyakan:
1. Apakah perjalanan liburan singkat sekarang mencurigakan?

2. Apakah mengunjungi Batam setelah tinggal di Singapura secara otomatis dianggap sebagai pelanggaran?

3. Mengapa turis ditekan dengan ""denda"" yang tidak jelas tanpa pelanggaran tertulis yang jelas?

Pengalaman seperti ini merusak kepercayaan. Pariwisata berkembang berdasarkan keselamatan, keadilan, dan transparansi. Ketika para pelancong merasa terintimidasi atau ditekan tanpa dasar hukum yang jelas, hal itu menciptakan rasa takut—bukan kepercayaan diri.

Kami datang untuk beristirahat dan berwisata. Kami pergi dengan kekecewaan.

Ini kemungkinan akan menjadi kunjungan terakhir kami ke Batam.

Kepada sesama pelancong: selalu siapkan dokumen lengkap, pahami aturan visa Anda, dan tetap tenang—tetapi juga sadari hak-hak Anda. Liburan tidak seharusnya dimulai dengan rasa takut.",tugas imigrasi korup tanggal februari keluarga rencana unjung libur baru imlek baru lalu ingin libur singkat tenang istirahat ibu filipina rencana keluarga sederhana pegang filipina suami putri milik izin tinggal jangka panjang laku perintah beri izin bebas pegang filipina milik pulang jangka izin mes hotel semua jalan lancar tiba imigrasi tanggal februari pukul pagi semua ubah tiba tiba tahan interogasi tugas tuduh laku jalan panjang ibu tuduh kejut imigrasi khawatir bijak ica pasuk legal dasar skema bebas tinggal lebih batas langgar hukum jelas jalan libur singkat antar buah kantor interogasi lanjut ruang remang remang tegang turis masuk pegang india tampak gelisah suasana asa intimidasi tanya ulang ulang nada bicara tuduh olah laku salah kemudian nada bicara tugas ubah beri tahu milik pilih ubah terbang ibu mesan filipina tanggal ingin bayar sgd denda transit denda langgar jelas jelas pemberitahuan tulis tanda terima resmi sebut muka dakwa resmi pilih imigrasi tentu ibu terbang filipina denda ada atur bebas rasa takut kuasa ada kantor imigrasi asing lihat bagaimana tugas bicara turis tahu jadi lanjut tolak batal masuk daftar hitam buat komplikasi lanjut jalan rasa intimidasi daya hindar masalah lanjut tuju bayar sebut jadi jalan keluarga santai ubah jadi alam tegang resah buat lancong tanya jalan libur singkat curiga unjung tinggal otomatis anggap langgar turis tekan denda jelas langgar tulis jelas alam rusak percaya pariwisata kembang dasar selamat adil transparansi lancong rasa intimidasi tekan dasar hukum jelas cipta rasa takut percaya diri istirahat wisata kecewa mungkin jadi kunjung akhir sama lancong siap dokumen lengkap paham atur tetap tenang sadar hak hak libur mulai rasa takut
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,"KORUPSI!

Insiden ini benar-benar meninggalkan trauma pada pengalaman saya saat berkunjung ke Batam.

Saya dan pasangan saya 'ditahan' di sebuah ruangan bersama banyak orang lain dari berbagai negara (SG, MY, PH, BD, CN, dll.), masing-masing dengan masalah kecil/tidak serius yang berbeda, dan tidak satu pun dari kami diberi tahu alasan penahanan kami selama setidaknya satu jam. Mereka mengambil paspor kami dan meletakkannya di ruangan kosong. Setelah menunggu lebih dari satu jam, petugas akhirnya memanggil kami ke ruangan, satu per satu. Mereka mulai berteriak, ""APAKAH KALIAN TAHU KESALAHAN KALIAN?!, ITU SANGAT TIDAK SOPAN!"" Tentu saja, awalnya tidak ada dari kami yang tahu apa kesalahan kami, sampai mereka memberikan alasan (yang bisa apa saja). Setelah berteriak dan berusaha sekuat tenaga untuk menanamkan rasa takut, sambil merokok dan menggunakan vape secara bersamaan, mereka memberi kami 2 pilihan:
1. Kembali ke Singapura dengan feri berikutnya (yang merupakan hari berikutnya karena tidak ada feri lagi malam itu)
2. Membayar denda sebesar 100 SGD masing-masing.

Para petugas tidak akan pernah membiarkan kami pergi tanpa membayar, dan saya mulai melihat banyak orang lain membayar saat mereka ditahan selama berjam-jam. Akhirnya kami menyerah dan membayar 'denda' tersebut, setelah 2 jam. Saat itulah kami melihat setumpuk uang tunai di bawah keyboard di ruang interogasi mereka.

Pengalaman yang sangat menakutkan dan tindakan korupsi yang terang-terangan. Semua petugas bersekongkol, dan tampaknya itu adalah hal yang biasa bagi mereka semua.",korupsi insiden tinggal trauma alam kunjung pasang tahan buah ruang sama bagai negara sg ph bd cn masing masing masalah kecil serius beda beri tahu alas tahan lama ambil letak ruang kosong tunggu tugas akhir panggil ruang per mulai teriak tahu salah sopan awal tahu salah beri alas teriak usaha kuat tenaga tanam rasa takut rokok guna vape sama beri pilih ikut rupa ikut malam bayar denda besar sgd masing masing tugas biar bayar mulai lihat bayar tahan lama jam akhir serah bayar denda sebut lihat tumpuk tunai keyboard interogasi alam takut tindak korupsi terang terang tugas sekongkol tampak biasa
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,Tunggu COVID dan nanti akan dibuka.,covid buka
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,Sayang sekali tempat parkirnya tidak terlalu luas dan untuk sepeda motor terlalu sempit dan sulit untuk parkir di sana.. mohon perluas areanya,sayang parkir terlalu luas sepeda motor terlalu sempit sulit parkir mohon luas area
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,Membersihkan,bersih
Batam Centre Ferry Terminal,2 bintang,NEGATIF,NETRAL,Oke. Tapi koneksi internet di Indonesia sangat buruk.,oke koneksi internet buruk
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,"Peringatan Korupsi di Bea Cukai Terminal Feri Batam Centre (13 Maret 2026)

Tiba di Batam Centre melalui feri malam dari HarbourFront dan mengalami pemerasan terang-terangan oleh petugas bea cukai.

Saat mengantre untuk pemeriksaan paspor, kami pindah ke antrean autogate yang lebih pendek. Seorang petugas menghentikan kami dan mengantar kami ke ""ruang interogasi"" tersembunyi yang tidak terlihat oleh publik. Di dalam, beberapa warga asing sudah menunggu.

Satu per satu, kami dipanggil masuk. Seorang pelancong Filipina sebelum kami dipaksa membayar ""denda"" atas kondisi paspornya.

Ketika giliran kami, pasangan saya keluar dan berkata: ""Mereka menginginkan uang.""

Di dalam ruang interogasi, saya dituduh oleh dua petugas melakukan ""pelanggaran tidak sopan"" karena diduga melewati pembatas. Para petugas berteriak, menyita ponsel saya, mengintimidasi, dan menuntut denda SGD 100 per orang.

Saya diancam dengan dua pilihan: membayar segera atau ditahan semalaman dan dipaksa kembali ke Singapura keesokan harinya.

Setelah 1,5 jam intimidasi, ancaman, dan tekanan yang tidak beralasan, kami membayar denda meskipun tidak melakukan kesalahan apa pun.

Ini bukan penegakan hukum. Ini adalah paksaan dan pemerasan yang menargetkan para pelancong.

Saya akan mempertimbangkan kembali untuk kembali ke Batam.

Kepada semua pelancong, perlu diingat bahwa berhati-hati mungkin tidak membantu karena Anda bisa dipaksa membayar denda dengan alasan apa pun. Mungkin berdoa untuk keberuntungan yang lebih baik atau menghindari Batam dengan segala cara akan menjadi pilihan yang lebih baik. Tetap aman dan semoga beruntung.",ingat korupsi bea cukai maret tiba lalu malam harbourfront alami peras terang terang tugas bea cukai antre periksa pindah antre autogate pendek orang tugas henti antar interogasi sembunyi lihat publik warga asing tunggu per panggil orang lancong filipina paksa bayar denda kondisi paspor gilir pasang kata ingin interogasi tuduh tugas laku langgar sopan duga lewat batas tugas teriak sita ponsel intimidasi tuntut denda sgd per ancam pilih bayar segera tahan malam paksa esok hari intimidasi ancam tekan alas bayar denda laku salah tega hukum paksa peras target lancong timbang lancong ingat hati hati bantu paksa bayar denda alas doa untung baik hindar segala cara jadi pilih baik tetap aman moga untung
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,"Pengalaman yang benar-benar mengerikan dan korup di imigrasi saat tiba dari Terminal HarbourFront ke Batam Centre. Terjadi pada 14 Februari 2026, sekitar pukul 13.00 - 15.30.

Saya ditahan karena paspor yang disebut ""rusak"" padahal saya baru saja melakukan perjalanan internasional tanpa masalah sama sekali. Ketika saya mencoba menjelaskan, petugas itu bersikap kasar dan meremehkan, mengatakan ""Ini Indonesia, bukan Thailand"" alih-alih memberikan alasan atau solusi yang tepat.

Kemudian bagian yang paling mengejutkan terjadi. Saya diberitahu bahwa petugas imigrasi ""tidak dapat membantu"" dan didorong untuk berbicara dengan seorang ""agen"" yang menawarkan tiga pilihan kepada saya:
• Kembali ke Singapura
• Menunggu berjam-jam sampai mereka merasa puas (mungkin sampai shift malam)
• Membayar ""biaya"" untuk menyelesaikannya

Sangat jelas mereka menekan saya untuk membayar uang. Ini terasa seperti penyuapan dan penyalahgunaan kekuasaan, bukan proses imigrasi yang sah. SAYA DIRAMPAS SEBESAR IDR 500.000.

Saya datang ke Batam untuk kegiatan amal membantu panti asuhan dan orang-orang yang membutuhkan, tetapi malah diperlakukan seperti target untuk diperas uangnya. Benar-benar tidak etis, membuat stres, dan memalukan.

Pengalaman ini saja membuat saya tidak ingin menginjakkan kaki di Batam lagi.
Wisatawan harus sangat berhati-hati. Ini bukan cara kerja imigrasi yang seharusnya. Selain itu, tolong sembunyikan uang tunai Anda. Mereka akan memeriksa isi tas Anda untuk melihat berapa banyak uang yang Anda bawa.",alam keri korup imigrasi tiba harbourfront jadi februari pukul tahan sebut rusak baru laku jalan masalah sama coba jelas tugas sikap kasar remeh kata thailand alih alih beri alas solusi tepat kemudian bagi kejut jadi diberitahu tugas imigrasi bantu dorong bicara orang agen tawar pilih tunggu jam rasa puas shift malam bayar biaya selesai jelas tekan bayar asa suap penyalahgunaan kuasa proses imigrasi sah rampas besar idr giat amal bantu panti asuh butuh malah laku target peras uang etis buat stres malu alam buat injak kaki wisatawan hati hati cara imigrasi sembunyi tunai periksa isi tas lihat berapa
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,Sudah pernah ke sini sekali,
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,"Pelayanan dan fasilitas buruk. Tidak ada lift. Troli untuk bagasi ada, tetapi entah mengapa tidak tersedia untuk umum. Sudah bertanya di meja informasi tetapi stafnya tidak membantu. Struktur keseluruhan tempat ini tidak ramah bagi penyandang disabilitas. Tidak direkomendasikan.",layan fasilitas buruk lift troli entah sedia umum tanya meja informasi staf bantu struktur seluruh ramah sandang disabilitas rekomendasi
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,"Ramai pengunjung, tidak akan bosan saat menunggu, ada toko suvenir dan ruang sholat.",ramai unjung bosan tunggu toko suvenir sholat
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,🎒 ke SG …,error 500 server error 1500 that s error there error please try later that s know
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,"Jangan pernah, sekali pun, naik feri dari sini pada akhir pekan liburan.",pekan libur
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,"Tidak bagus, fasilitasnya buruk.",bagus fasilitas buruk
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,"Ya sudahlah, tidak ada yang berubah selama bertahun-tahun namun tetap berfungsi. Akan lebih masuk akal untuk menggunakan agen wisata untuk menyediakan akses VIP jika datang ke sini dari Singapura, hal itu akan membuat proses imigrasi jauh lebih menyenangkan dan tidak membuang waktu.",sudah ubah lama tahun tetap fungsi akal guna agen wisata sedia akses vip buat proses imigrasi jauh senang buang
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,Tempat yang bagus untuk dikunjungi.,bagus kunjung
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,"Salah satu pelabuhan utama dari Pulau Batam ke Harbour Front, Singapura, dan Johor. Perjalanan paling awal dimulai pukul 6 pagi, dengan keberangkatan hampir setiap jam. Tiket dapat dibeli di tempat, sehingga sangat nyaman untuk perjalanan pulang pergi singkat ke Singapura dalam sehari.",utama front johor jalan mulai pukul pagi berangkat hampir beli nyaman jalan pulang singkat hari
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,Tersedia kereta gantung setiap 20 menit untuk stasiun MRT HarbourFront dan Tanah Merah.,sedia kereta gantung stasiun mrt harbourfront tanah merah
Batam Centre Ferry Terminal,2 bintang,NEGATIF,NETRAL,"Seminggu di pulau Batam, Batam Center terbaik. mantap",minggu baik mantap
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,"Terminal feri internasional yang menghubungkan Singapura dan Malaysia, Area parkir mobil tidak memadai.",hubung parkir pada
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,Untuk pertama kalinya...,pertama kali
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,Keselamatan adalah prioritas utama. Kelola dengan baik sebelum feri berangkat ke laut.,selamat prioritas utama kelola baik berangkat
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,"Sistem IT imigrasi sedang down, dan tidak ada solusi darurat untuk melakukan pemeriksaan manual. Sudah menunggu 2 jam di sini dan tidak ada pergerakan sama sekali. Staf bahkan tidak peduli untuk melakukan apa pun di sini. #batam #Ansar_Ahmad jika Anda ingin mempromosikan pariwisata, tolong lakukan sesuatu untuk membuat proses imigrasi lebih lancar.",sistem imigrasi solusi darurat laku periksa manual tunggu gera sama staf bahkan peduli laku ansar ahmad promosi pariwisata laku buat proses imigrasi lancar
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,Sibuk seperti biasa,sibuk biasa
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,bagusss,bagusss
Batam Centre Ferry Terminal,4 bintang,POSITIF,NETRAL,Oke,error 500 server error 1500 that s error there error please try later that s know
Batam Centre Ferry Terminal,1 bintang,NEGATIF,NETRAL,Kantor imigrasi lebih buruk lagi! Mereka tidak tahu cara membedakan mana orang yang datang ke Singapura untuk pekerjaan paruh waktu dan mana yang tidak! Orang-orang sudah mengatakan yang sebenarnya. Mereka mempersulit orang-orang yang tahu hukum! Bukalah mata kalian untuk mengetahui siapa yang berbohong! Sangat mengecewakan!!,kantor imigrasi buruk tahu cara beda kerja paruh kata benar sulit tahu hukum buka mata tahu bohong kecewa
Batam Centre Ferry Terminal,5 bintang,POSITIF,NETRAL,Terbaik,baik
